0,-1.6000000000000014,0
10,-155.69999999999982,1
20,-251.39999999999893,1
30,-364.6999999999985,1
40,-456.6999999999985,1
50,-571.5999999999998,2
60,-661.600000000002,3
70,-758.2000000000025,3
80,-870.3000000000034,4
90,-905.8000000000068,5
100,-913.2000000000114,7
110,-1007.1000000000147,11
120,-1058.3000000000077,12
130,-1080.0000000000045,13
140,-1076.4999999999989,17
150,-1031.0999999999917,21
160,-978.0999999999967,26
170,-935.8000000000001,28
180,-931.1000000000041,32
190,-891.4000000000068,36
200,-930.7000000000116,38
210,-907.3000000000172,41
220,-906.9000000000244,42
230,-823.9000000000292,45
240,-833.7000000000364,46
250,-779.6000000000421,49
260,-905.8000000000474,50
270,-909.8000000000533,55
280,-908.4000000000591,55
290,-909.6000000000652,56
300,-900.20000000007,58
310,-867.5000000000764,61
320,-843.9000000000825,63
330,-807.4000000000887,65
340,-757.6000000000938,66
350,-705.0000000000982,69
360,-619.5000000001021,74
370,-554.6000000001047,77
380,-476.20000000011004,80
390,-442.9000000001145,85
400,-221.60000000011462,94
410,-184.90000000011315,96
420,-39.80000000011252,102
430,27.19999999988726,105
440,175.49999999988762,111
450,324.9999999998865,118
460,433.9999999998838,123
470,625.1999999998816,130
480,812.0999999998794,138
490,919.6999999998757,143
500,1094.1999999998798,150
510,1177.599999999887,155
520,1248.9999999998959,158
530,1416.9999999999052,164
540,1555.1999999999134,169
550,1621.1999999999314,172
560,1799.8999999999394,179
570,1859.0999999999572,181
580,1931.19999999997,184
590,2076.899999999983,189
600,2257.499999999991,195
610,2379.8000000000075,200
620,2457.600000000024,205
630,2357.200000000048,207
640,2443.800000000065,212
650,2642.200000000072,218
660,2847.5000000000796,224
670,3007.500000000091,231
680,3116.400000000107,236
690,3377.100000000113,245
700,3498.8000000001316,251
710,3670.8000000001416,258
720,3877.3000000001525,266
730,4061.4000000001647,272
740,4173.70000000017,277
750,4290.600000000137,282
760,4525.7000000001135,290
770,4649.400000000081,295
780,4876.3000000000575,303
790,5058.500000000024,310
800,5209.99999999998,316
810,5366.899999999935,322
820,5606.599999999922,330
830,5806.099999999914,337
840,5781.899999999888,342
850,5931.699999999861,348
860,6114.399999999827,355
870,6296.299999999807,362
880,6472.09999999979,368
890,6679.799999999767,375
900,6936.799999999771,384
910,7191.599999999759,393
920,7352.099999999744,401
930,7477.399999999689,406
940,7673.499999999655,413
950,7938.999999999642,422
960,8095.099999999606,428
970,8216.999999999543,432
980,8369.299999999475,438
990,8627.09999999946,447
1000,8878.999999999452,455
1010,9016.699999999442,463
1020,9231.299999999406,470
1030,9421.699999999388,478
1040,9647.39999999937,486
1050,9894.199999999353,495
1060,9984.49999999928,499
1070,10168.899999999225,506
1080,10396.79999999919,514
1090,10619.699999999166,522
1100,10875.69999999915,531
1110,11091.299999999124,539
1120,11296.3999999991,546
1130,11415.899999999046,551
1140,11636.199999999011,559
1150,11822.099999998954,566
1160,12042.79999999893,574
1170,12229.599999998896,581
1180,12493.199999998886,590
1190,12641.999999998827,595
1200,12783.699999998767,600
1210,12959.099999998729,607
1220,13167.3999999987,615
1230,13344.499999998652,622
1240,13573.199999998627,630
1250,13819.199999998611,638
1260,14007.099999998558,645
1270,14165.899999998506,651
1280,14357.699999998482,658
1290,14537.099999998429,665
1300,14757.599999998405,673
1310,14961.399999998366,681
1320,15213.399999998346,690
1330,15433.79999999833,698
1340,15643.499999998303,706
1350,15832.499999998246,713
1360,16047.899999998217,721
1370,16253.099999998187,729
1380,16407.299999998337,736
1390,16568.59999999838,742
1400,16636.49999999868,745
1410,16828.79999999875,751
1420,17043.499999998774,759
1430,17212.6999999989,766
1440,17348.09999999908,772
1450,17465.399999999183,777
1460,17763.499999999192,786
1470,17990.39999999928,794
1480,18087.299999999268,799
1490,18139.899999999292,802
1500,18359.299999999395,810
1510,18542.799999999464,817
1520,18761.099999999555,825
1530,18824.79999999965,829
1540,19010.699999999746,836
1550,19225.199999999702,844
1560,19356.899999999925,849
1570,19595.599999999988,857
1580,19804.599999999955,865
1590,19948.300000000017,870
1600,20070.700000000114,874
1610,20193.100000000264,878
1620,20407.00000000035,886
1630,20568.70000000052,892
1640,20757.900000000693,899
1650,21047.500000000702,909
1660,21236.800000000752,916
1670,21415.300000000883,923
1680,21627.50000000085,931
1690,21876.200000000903,939
1700,22089.50000000088,947
1710,22182.10000000094,951
1720,22366.10000000088,957
