0,-8.9,0,0,0
10,-137.5,2,0.2,-13.75
20,-420.7,2,0.1,-21.035
30,-537.1,3,0.1,-17.90333333
40,-698.7,5,0.125,-17.4675
50,-764.5,7,0.14,-15.29
60,-853.7,8,0.133333333,-14.22833333
70,-892.8,9,0.128571429,-12.75428571
80,-951.1,10,0.125,-11.88875
90,-1040.9,12,0.133333333,-11.56555556
100,-1074.4,12,0.12,-10.744
110,-1137.9,14,0.127272727,-10.34454545
120,-1230,14,0.116666667,-10.25
130,-1269.3,14,0.107692308,-9.763846154
140,-1322.1,14,0.1,-9.443571429
150,-1319.3,15,0.1,-8.795333333
160,-1338.6,16,0.1,-8.36625
170,-1363.3,17,0.1,-8.019411765
180,-1342.8,22,0.122222222,-7.46
190,-1294.2,23,0.121052632,-6.811578947
200,-1297.5,25,0.125,-6.4875
210,-1379,26,0.123809524,-6.566666667
220,-1413.1,28,0.127272727,-6.423181818
230,-1384.8,29,0.126086957,-6.020869565
240,-1429,29,0.120833333,-5.954166667
250,-1425.9,31,0.124,-5.7036
260,-1406.7,34,0.130769231,-5.410384615
270,-1325.1,38,0.140740741,-4.907777778
280,-1288.8,43,0.153571429,-4.602857143
290,-1301.6,43,0.148275862,-4.488275862
300,-1280,45,0.15,-4.266666667
310,-1200.9,50,0.161290323,-3.873870968
320,-1142.1,54,0.16875,-3.5690625
330,-1006,62,0.187878788,-3.048484848
340,-923.9,67,0.197058824,-2.717352941
350,-912.6,69,0.197142857,-2.607428571
360,-805.9,74,0.205555556,-2.238611111
370,-696.7,80,0.216216216,-1.882972973
380,-628.4,85,0.223684211,-1.653684211
390,-475.5,92,0.235897436,-1.219230769
400,-420.5,95,0.2375,-1.05125
410,-273.8,101,0.246341463,-0.667804878
420,-132.6,107,0.254761905,-0.315714286
430,15.5,112,0.260465116,0.036046512
440,136.4,119,0.270454545,0.31
450,297.8,123,0.273333333,0.661777778
460,358.2,127,0.276086957,0.778695652
470,549.7,134,0.285106383,1.169574468
480,732.9,142,0.295833333,1.526875
490,837.8,146,0.297959184,1.709795918
500,944.8,151,0.302,1.8896
510,1110.6,158,0.309803922,2.177647059
520,1325.9,166,0.319230769,2.549807692
530,1449.9,171,0.322641509,2.735660377
540,1637.2,178,0.32962963,3.031851852
550,1781.1,183,0.332727273,3.238363636
560,1851.5,187,0.333928571,3.30625
570,2003.8,191,0.335087719,3.515438596
580,2165.8,195,0.336206897,3.734137931
590,2322.3,201,0.340677966,3.936101695
600,2544.8,210,0.35,4.241333333
610,2769.5,218,0.357377049,4.540163934
620,2937.3,225,0.362903226,4.737580645
630,3133.1,234,0.371428571,4.973174603
640,3220,238,0.371875,5.03125
650,3364.1,246,0.378461538,5.175538462
660,3454.7,252,0.381818182,5.234393939
670,3557.5,257,0.38358209,5.309701493
680,3577.5,260,0.382352941,5.261029412
690,3730.3,266,0.385507246,5.406231884
700,3874,272,0.388571429,5.534285714
710,3913,275,0.387323944,5.511267606
720,4053.9,281,0.390277778,5.630416667
730,4236.4,289,0.395890411,5.803287671
740,4464.8,297,0.401351351,6.033513514
750,4666.6,305,0.406666667,6.222133333
760,4786.5,311,0.409210526,6.298026316
770,4898.8,316,0.41038961,6.362077922
780,4997.5,321,0.411538462,6.407051282
790,5248.9,330,0.417721519,6.644177215
800,5421.8,338,0.4225,6.77725
810,5533.6,342,0.422222222,6.831604938
820,5654,347,0.423170732,6.895121951
830,5817.2,354,0.426506024,7.008674699
840,5942.4,359,0.427380952,7.074285714
850,6023.4,364,0.428235294,7.086352941
860,6177.4,370,0.430232558,7.183023256
870,6368.4,377,0.433333333,7.32
880,6543.1,384,0.436363636,7.435340909
890,6679.2,391,0.439325843,7.504719101
900,6758.5,395,0.438888889,7.509444444
910,6884.3,400,0.43956044,7.565164835
920,6969.1,404,0.439130435,7.575108696
930,7108.5,410,0.440860215,7.643548387
940,7322,418,0.444680851,7.789361702
950,7428.1,423,0.445263158,7.819052632
960,7545.8,427,0.444791667,7.860208333
970,7687.2,432,0.445360825,7.924948454
980,7849.5,439,0.447959184,8.009693878
990,8070.6,449,0.453535354,8.152121212
1000,8294.9,457,0.457,8.2949
1010,8314.1,459,0.454455446,8.231782178
1020,8502.5,467,0.457843137,8.335784314
1030,8706,474,0.460194175,8.452427184
1040,8833,479,0.460576923,8.493269231
1050,8972.8,484,0.460952381,8.54552381
1060,9159.9,491,0.463207547,8.641415094
1070,9339.1,498,0.465420561,8.728130841
1080,9497,505,0.467592593,8.793518519
1090,9728.3,515,0.472477064,8.925045872
1100,9855.3,520,0.472727273,8.959363636
1110,9973.9,525,0.472972973,8.985495495
1120,10224.3,535,0.477678571,9.128839286
1130,10452.6,543,0.480530973,9.250088496
1140,10596.4,550,0.48245614,9.295087719
1150,10765.9,556,0.483478261,9.361652174
1160,11050.4,565,0.487068966,9.526206897
1170,11251.9,574,0.490598291,9.617008547
1180,11463.5,583,0.494067797,9.714830508
