6425,22.124,0.72
6450,20.144,0.64
6475,19.792,0.76
6500,13.864,0.44
6525,24.144,0.68
6550,26.42,0.76
6575,19.4,0.76
6600,25.64,0.76
6625,28.664,0.8
6650,26.436,0.8
6675,26.232,0.84
6700,25.708,0.76
6725,18.492,0.6
6750,20.656,0.68
6775,14.504,0.44
6800,24.344,0.68
6825,23.904,0.72
6850,26.12,0.88
6875,25.6,0.8
6900,23.128,0.72
6925,27.1,0.84
6950,12.696,0.48
6975,28.548,0.88
7000,20.684,0.76
7025,19.852,0.76
7050,24.644,0.76
7075,23.7,0.76
7100,27.54,0.84
7125,23.812,0.76
7150,28.332,0.84
7175,21.916,0.68
7200,30.676,0.84
7225,30.732,0.92
7250,34.216,0.96
7275,22.628,0.68
7300,28.048,0.84
7325,26.96,0.88
7350,19.976,0.56
7375,25.232,0.76
7400,26.96,0.84
7425,21.828,0.72
7450,29.476,0.88
7475,28.116,0.8
7500,19.752,0.6
7525,25.44,0.76
7550,31.996,0.92
7575,26.88,0.84
7600,20.06,0.72
7625,23.5,0.72
7650,16.928,0.8
7675,17.756,0.56
7700,21.152,0.64
7725,15.468,0.56
7750,24.616,0.76
7775,21.992,0.76
7800,23.232,0.8
7825,13.324,0.44
7850,27.644,0.8
7875,23.944,0.8
7900,18.016,0.64
7925,21.396,0.72
7950,21.888,0.84
7975,19.82,0.68
8000,15.832,0.64
8025,19.116,0.68
8050,17.868,0.68
8075,21.048,0.76
8100,19.132,0.72
8125,24.576,0.92
8150,12.44,0.56
8175,21.7,0.8
8200,20.98,0.6
8225,15.932,0.6
8250,10.672,0.4
8275,17.444,0.56
8300,21.696,0.8
8325,20.416,0.8
8350,14.436,0.64
8375,17.12,0.72
8400,17.408,0.64
8425,18.36,0.68
8450,23.176,0.76
8475,17.612,0.68
8500,26.544,0.92
8525,17.144,0.72
8550,17.42,0.68
8575,17.436,0.72
8600,20.796,0.76
8625,16.064,0.64
8650,16.352,0.64
8675,18.128,0.72
8700,21.584,0.8
8725,14.84,0.48
8750,19.428,0.8
8775,14.744,0.64
8800,19.06,0.68
8825,15.8,0.68
8850,18.536,0.72
8875,21.656,0.84
8900,24.292,0.88
8925,16.36,0.72
8950,26.38,0.84
8975,18.988,0.76
9000,17.796,0.68
9025,25.72,0.88
9050,26.644,0.92
9075,27.356,0.96
9100,20.368,0.64
9125,24.756,0.84
9150,18.552,0.6
9175,20.8,0.76
9200,16.128,0.64
9225,18.236,0.6
9250,23.724,0.84
9275,19.644,0.8
9300,19.288,0.72
9325,20.392,0.68
9350,15.912,0.64
9375,22.292,0.72
9400,20.924,0.76
9425,18.24,0.72
9450,19.456,0.56
9475,20.616,0.8
9500,23.872,0.84
